name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
All,8.012130133699818,8.012117999685444,8.012142267714193,7.0,7,7
All_CURA,8.199848823898876,8.199833490298484,8.199864157499267,8.0,8,8
All_MORTE,7.657935464232396,7.657891184789762,7.657979743675029,6.0,6,6
AGEGRP_AG50t65,8.435542780575306,8.435504519803407,8.435581041347204,8.0,8,8
AGEGRP_AG50t65_CURA,8.592832264816732,8.59278408444697,8.592880445186493,8.0,8,8
AGEGRP_AG50t65_MORTE,8.09019620153822,8.090043967577925,8.090348435498514,7.0,7,7
AGEGRP_AG75t85,7.243852804131814,7.243747081438857,7.243958526824771,6.0,6,6
AGEGRP_AG75t85_MORTE,7.158622876405994,7.15840703769283,7.158838715119159,5.0,5,5
AGEGRP_AG75t85_CURA,7.352617343896414,7.352430316374652,7.352804371418176,6.0,6,6
AGEGRP_AG65t75,7.866271830401328,7.866202578472081,7.8663410823305755,7.0,7,7
AGEGRP_AG65t75_CURA,8.051756303919005,8.051654886387997,8.051857721450013,7.0,7,7
AGEGRP_AG65t75_MORTE,7.650826075554512,7.650646354514391,7.651005796594633,6.0,6,6
AGEGRP_AG30t40,8.429358920873314,8.429258086343257,8.429459755403371,8.0,8,8
AGEGRP_AG30t40_CURA,8.450474756756405,8.450369734218643,8.450579779294166,8.0,8,8
AGEGRP_AG30t40_MORTE,8.306289881494987,8.305263572949988,8.307316190039986,7.0,7,7
AGEGRP_AG85+,6.737226552204525,6.736985204947596,6.737467899461455,5.0,5,5
AGEGRP_AG85+_MORTE,6.883252968693775,6.88283076345345,6.883675173934099,5.0,5,5
AGEGRP_AG85+_CURA,6.461249693969152,6.460800001097645,6.4616993868406585,5.0,5,5
AGEGRP_AG18t30,7.826645218323841,7.826365187924113,7.826925248723569,7.0,7,7
AGEGRP_AG18t30_CURA,7.871018611298191,7.870705596640365,7.871331625956017,7.0,7,7
AGEGRP_AG18t30_MORTE,7.494216096480433,7.491606089622517,7.496826103338349,6.0,6,7
AGEGRP_AG40t50,8.537691540818964,8.537625231354262,8.537757850283665,8.0,8,8
AGEGRP_AG40t50_CURA,8.604044236731294,8.603970950614565,8.604117522848023,8.0,8,8
AGEGRP_AG40t50_MORTE,8.27563961988304,8.27519002697125,8.276089212794831,7.0,7,7
AGEGRP_AG0t18,5.17358261133911,5.172707338798056,5.174457883880163,3.0,3,3
AGEGRP_AG0t18_CURA,5.111785345717235,5.1109333608635765,5.112637330570893,3.0,3,3
AGEGRP_AG0t18_MORTE,5.889526542324247,5.8695783156707755,5.909474768977718,3.0,3,3
AGEGRP_,5.666666666666667,3.647115749162656,7.686217584170678,4.0,3,10
AGEGRP__CURA,5.666666666666667,3.647115749162656,7.686217584170678,4.0,3,10
CS_SEXO_M,8.152982440472393,8.152960792092452,8.153004088852333,7.0,7,7
CS_SEXO_M_CURA,8.345903229599436,8.345875656799521,8.345930802399351,8.0,8,8
CS_SEXO_M_MORTE,7.79308180699253,7.793003805621435,7.793159808363624,6.0,6,6
CS_SEXO_F,7.834895163567316,7.83486756531826,7.8349227618163715,7.0,7,7
CS_SEXO_F_CURA,8.01794016143293,8.017905627466243,8.017974695399618,7.0,7,7
CS_SEXO_F_MORTE,7.484544926360775,7.484442586068135,7.484647266653416,6.0,6,6
CS_SEXO_I,7.87012987012987,7.71824833910259,8.02201140115715,5.0,4,6
CS_SEXO_I_CURA,7.29559748427673,7.137292540671211,7.453902427882248,5.0,4,6
CS_SEXO_I_MORTE,9.13888888888889,8.438751444426135,9.839026333351644,4.0,3,5
RACA_nan,7.858081310078448,7.858016982892202,7.858145637264693,7.0,7,7
RACA_nan_CURA,8.08354846280216,8.083465792328234,8.083631133276086,7.0,7,7
RACA_nan_MORTE,7.322928044038621,7.322668627957351,7.3231874601198905,6.0,6,6
RACA_Branca,8.005481907620476,8.005455775541533,8.00550803969942,7.0,7,7
RACA_Branca_MORTE,7.555264850092437,7.555164210048524,7.555365490136349,6.0,6,6
RACA_Branca_CURA,8.243413618792745,8.243382947517333,8.243444290068158,8.0,8,8
RACA_Preta,7.617906161111264,7.61756701157148,7.618245310651049,7.0,7,7
RACA_Preta_CURA,7.691243481937333,7.690828764361581,7.691658199513085,7.0,7,7
RACA_Preta_MORTE,7.513300723666577,7.5122312122649815,7.514370235068173,6.0,6,6
RACA_Parda,8.146106185952366,8.146067107036176,8.146145264868556,7.0,7,7
RACA_Parda_MORTE,7.939900258980061,7.939771375161734,7.940029142798388,6.0,6,6
RACA_Parda_CURA,8.265289996605624,8.265237156427515,8.265342836783732,7.0,7,7
RACA_Amarela,8.243322729728108,8.242126785310145,8.244518674146072,7.0,7,7
RACA_Amarela_MORTE,7.637993480622963,7.634023219685432,7.6419637415604935,6.0,6,6
RACA_Amarela_CURA,8.543406050812461,8.541715679740859,8.545096421884063,8.0,7,8
RACA_Indigena,8.332639714625445,8.324018079689287,8.341261349561604,7.0,6,7
RACA_Indigena_CURA,7.753234307618591,7.745348371037652,7.76112024419953,7.0,7,7
RACA_Indigena_MORTE,9.27956147220047,9.246637352872524,9.312485591528416,6.0,6,7
BDIGRP_BDI1,7.3466471279262695,7.346584195903586,7.346710059948953,7.0,7,7
BDIGRP_BDI1_CURA,7.647751989207346,7.6476811558724505,7.647822822542241,7.0,7,7
BDIGRP_BDI1_MORTE,6.762633724345396,6.762381073287176,6.762886375403617,5.0,5,5
BDIGRP_BDI2,7.89985562882501,7.899798771313413,7.899912486336608,7.0,7,7
BDIGRP_BDI2_CURA,8.094723035736745,8.094653184708564,8.094792886764926,8.0,8,8
BDIGRP_BDI2_MORTE,7.507395446033598,7.507175035017461,7.5076158570497356,6.0,6,6
BDIGRP_BDI0,7.983985080193958,7.983938456922301,7.9840317034656145,7.0,7,8
BDIGRP_BDI0_MORTE,7.3157590639896,7.3155717575112424,7.315946370467958,6.0,6,6
BDIGRP_BDI0_CURA,8.284019370460049,8.283960918988306,8.284077821931792,8.0,8,8
BDIGRP_BDI3,8.235860123155486,8.235793036368705,8.235927209942268,7.0,7,7
BDIGRP_BDI3_MORTE,8.033218616846936,8.032998542604714,8.033438691089158,6.0,6,6
BDIGRP_BDI3_CURA,8.355815544011293,8.355725498981968,8.355905589040617,8.0,8,8
BDIGRP_BDI4,8.627548386498459,8.627472588735898,8.62762418426102,7.0,7,7
BDIGRP_BDI4_CURA,8.665318667098026,8.66521061025325,8.665426723942801,8.0,8,8
BDIGRP_BDI4_MORTE,8.568089762463693,8.567860737242226,8.56831878768516,7.0,7,7
BDIGRP_,7.856923890063425,7.85650489919431,7.857342880932539,7.0,7,7
BDIGRP__CURA,8.20048677709968,8.199955831257588,8.201017722941772,8.0,8,8
BDIGRP__MORTE,6.93977889837083,6.937970676490244,6.941587120251415,6.0,6,6
VACINA_False,8.067708698673195,8.067694794509281,8.06772260283711,7.0,7,7
VACINA_False_CURA,8.24312570781427,8.243108303225366,8.243143112403175,8.0,8,8
VACINA_False_MORTE,7.731163150016899,7.731111531916177,7.731214768117621,6.0,6,6
VACINA_True,7.537516952983725,7.537430951607041,7.537602954360409,7.0,7,7
VACINA_True_CURA,7.80893665775547,7.808817767744139,7.809055547766801,7.0,7,7
VACINA_True_MORTE,7.091914728450721,7.091643549147782,7.09218590775366,6.0,6,6
COMOR_NO,8.428288778936627,8.428255601522602,8.428321956350652,8.0,8,8
COMOR_NO_CURA,8.419518243420871,8.41948282642788,8.419553660413863,8.0,8,8
COMOR_NO_MORTE,8.455462756969013,8.455266637372437,8.455658876565588,7.0,7,7
COMOR_YES,7.735383349870498,7.735364503792767,7.735402195948228,7.0,7,7
COMOR_YES_MORTE,7.345727631607127,7.345673158479613,7.34578210473464,6.0,6,6
COMOR_YES_CURA,8.011230882484236,8.011204147950435,8.011257617018037,7.0,7,7
