variable,count_com_raca,count_sem_raca,frac_com_raca,frac_sem_raca
TOTAL,1430737,329412,1.0,1.0
MORTE,493205,91556,0.3447209375307971,0.27793765861595815
eUTI,467762,113013,0.3269377949965647,0.34307493351790463
NVACC,1271172,303234,0.8884735629259606,0.9205311281920513
PNEUMOPATI,43653,8199,0.030510848604600287,0.02488980365014025
IMUNODEPRE,30306,5314,0.021182090069663397,0.016131774191589864
OBESIDADE,122302,23416,0.08548181811192414,0.07108423493983218
SIND_DOWN,3899,652,0.0027251689164395692,0.001979284300511214
RENAL,46330,9026,0.032381912259206266,0.02740033757118745
NEUROLOGIC,45378,9145,0.03171652092592839,0.02776158731315192
DIABETES,323900,68586,0.22638682021922968,0.20820735128046336
PUERPERA,3855,657,0.002694415535489751,0.001994462861097956
OUT_MORBI,369026,80469,0.2579272081451727,0.24428071837091545
HEMATOLOGI,8814,1658,0.006160461356629485,0.0050332106905637925
ASMA,34440,7678,0.02407150999799404,0.023308197637001687
HEPATICA,10772,1922,0.007528986808896394,0.005834638689543793
CARDIOPATI,448134,99208,0.31321899133104125,0.30116692773790876
NO_COMORB,563605,142850,0.39392634705050616,0.43365147596323145
BDI_GRP_BDI_0,295829,45191,0.2067668621137218,0.1371868662950955
BDI_GRP_BDI_1,259535,85868,0.1813995164729786,0.2606705280924799
BDI_GRP_BDI_2,284007,62211,0.19850398780488657,0.18885468653236676
BDI_GRP_BDI_3,278982,65324,0.19499181191232212,0.1983048583536726
BDI_GRP_BDI_4,293606,50756,0.20521311743527987,0.15408060422813985
BDI_GRP_NA,18778,20062,0.013124704260811037,0.060902456498245355
AGE_GRP_AG0t18,23171,5442,0.01619514977245993,0.01652034534261047
AGE_GRP_AG18t30,59643,13029,0.041686906817954665,0.03955229317693344
AGE_GRP_AG30t40,151300,36774,0.10574969403880657,0.11163527740337328
AGE_GRP_AG40t50,227384,55458,0.15892788122485124,0.16835452260391243
AGE_GRP_AG50t65,430903,99530,0.3011755479868068,0.30214442703969496
AGE_GRP_AG65t75,266293,59374,0.18612295621068023,0.1802423712554491
AGE_GRP_AG75t85,182273,39616,0.12739797740605016,0.12026277124087768
AGE_GRP_AG85+,89767,20189,0.06274178972096199,0.061287991937148616
AGE_GRP_NA,3,0,2.0968214283966933e-06,0.0
TINT_NA,12993,2877,0.009081333606386079,0.008733743761611599
TINT_T0t4,291659,63875,0.2038522803282504,0.19390611149563464
TINT_T12t40,401288,92053,0.2804764257861508,0.2794464075382803
TINT_T4t12,654836,150867,0.45769138562852574,0.4579887800080143
TINT_TM40,69961,19740,0.048898574650687025,0.05992495719645915
CS_SEXO_F,636119,143323,0.44460931673675874,0.4350873677947373
CS_SEXO_I,156,113,0.00010903471427662807,0.0003430354692603791
CS_SEXO_M,794462,185976,0.5552816485489647,0.5645695967360024
RACA_Amarela,17376,0,0.012144789713273648,0.0
RACA_Branca,740027,0,0.5172348237307066,0.0
RACA_Indigena,3490,0,0.002439302261701487,0.0
RACA_Parda,594179,0,0.41529575316777295,0.0
RACA_Preta,75665,0,0.05288533112654527,0.0
RACA_Desconhecida,0,329412,0.0,1.0
